"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Biesdorf..................................... "," 2 108"," 8 382"," 2 317"," 9 083"
"Kaulsdorf................................... "," 1 126"," 6 021"," 1 113"," 5 968"
"Mahlsdorf.................................. "," 1 474"," 5 462"," 1 493"," 5 508"
"Malchow/Warten-/Falkenberg"," 365","8 707"," 407","9 581"
"Neu-Hohenschönhausen Nord","2 173","7 905","2 191","7 914"
"Neu-Hohenschönhausen Süd","2 414","9 329","2 346","9 075"
"Alt-Hohenschönhausen Nord","1 490","11 060","1 672","12 395"
"Alt-Hohenschönhausen Süd","2 552","8 686","2 630","8 927"
"Fennpfuhl","3 594","11 330","2 456","7 672"
"Alt-Lichtenberg","4 171","17 366","4 191","16 806"
"Frankfurter Allee Süd","1 180","12 214","1 284","12 811"
"Neu-Lichtenberg","2 955","10 063","2 872","9 559"
"Friedrichsfelde Nord","1 525","11 442","1 525","11 280"
"Friedrichsfelde Süd","1 756","7 283","1 631","6 637"
"Rummelsburger Bucht"," 407","12 473"," 368","11 101"
"Karlshorst","1 333","5 902","1 548","6 641"
"Ost 1","3 097","12 072","2 957","11 380"
"Ost 2","3 550","13 918","3 410","13 188"
"West 1","3 473","23 873","3 070","21 219"
"West 4","3 429","13 720","3 463","13 623"
"West 5","2 231","21 838","1 980","19 236"
"West 2","1 405","5 961","1 308","5 501"
"Nord 1","2 028","6 204","2 051","6 249"
"Nord 2","3 196","10 949","3 330","11 187"
"MV 1","4 343","12 262","4 457","12 253"
"MV 2"," 951","11 606","1 092","12 844"
"West 3","1 387","8 683","1 337","8 362"
