"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Malchow/Warten-/Falkenberg..... ","  1","  24",,"-"
"Neu-Hohenschönhausen Nord...... ","  11","  40","  16","  58"
"Neu-Hohenschönhausen Süd........ ","  12","  46","  8","  31"
"Alt-Hohenschönhausen Nord........ ","  4","  30","  3","  22"
"Alt-Hohenschönhausen Süd.......... ","  10","  34","  16","  54"
"Fennpfuhl...................................... ","  14","  44","  14","  44"
"Alt-Lichtenberg.............................. ","  10","  42","  22","  88"
"Frankfurter Allee Süd.................... ","  6","  62","  10","  100"
"Neu-Lichtenberg............................ ","  16","  54","  16","  53"
"Friedrichsfelde Nord..................... ","  15","  113","  4","  30"
"Friedrichsfelde Süd....................... ","  9","  37","  8","  33"
"Rummelsburger Bucht.................. ",,"-","  4","  121"
"Karlshorst...................................... ","  3","  13","  5","  21"
"Ost 1................................ ","  21","  82","  15","  58"
"Ost 2................................ ","  18","  71","  21","  81"
"West 1............................. ","  3","  21","  5","  35"
"West 4............................. ","  19","  76","  17","  67"
"West 5............................. ","  14","  137","  13","  126"
"West 2............................. ","  3","  13","  3","  13"
"Nord 1............................. ","  8","  24","  9","  27"
"Nord 2............................. ","  12","  41","  22","  74"
"MV 1................................ ","  21","  59","  57","  157"
"MV 2................................ ","  2","  24","  9","  106"
"West 3............................. ","  9","  56","  7","  44"
