"Bezirkregion","2012 erfasste Fälle","2012 HZ","2013 erfasste Fälle","2013 HZ"
"Niederschöneweide................. ","  320"," 3 062","  279"," 2 624"
"Adlershof.................................. ","  345"," 2 242","  291"," 1 865"
"Kölln. Vorstadt/Spindlersf........ ","  265"," 2 692","  316"," 3 158"
"Altglienicke............................... ","  311"," 1 217","  332"," 1 283"
"Bohnsdorf................................ ","  134"," 1 125","  138"," 1 144"
"Grünau..................................... ","  84"," 1 556","  54","  964"
"Schmöckwitz/Karolinenhof...... ","  24","  591","  43"," 1 067"
"Köpenick Süd............................ ","  174"," 1 114","  186"," 1 196"
"Allende-Viertel......................... ","  100"," 1 638","  97"," 1 585"
"Altstadt Kietz............................ ","  173"," 2 519","  199"," 2 867"
"Müggelheim............................. ","  43","  661","  45","  688"
"Friedrichshagen....................... ","  173","  990","  176"," 1 008"
"Rahnsdorf/Hessenwinkel......... ","  56","  625","  75","  837"
"Dammvorstadt......................... ","  244"," 2 589","  322"," 3 381"
"Köpenick Nord......................... ","  118","  960","  129"," 1 051"
"Marzahn Nord........................... ","  811"," 3 579","  780"," 3 401"
"Marzahn Mitte.......................... "," 1 460"," 3 231"," 1 396"," 3 061"
"Marzahn Süd............................. ","  648"," 1 794","  818"," 2 236"
"Hellersdorf Nord....................... "," 1 199"," 3 656"," 1 357"," 4 075"
"Hellersdorf Ost.......................... ","  630"," 3 415","  479"," 2 537"
"Hellersdorf Süd......................... ","  541"," 2 230","  595"," 2 436"
"Biesdorf..................................... ","  287"," 1 141","  349"," 1 368"
"Kaulsdorf................................... ","  251"," 1 342","  178","  954"
"Mahlsdorf.................................. ","  250","  926","  184","  679"
"Malchow/Warten-/Falkenberg..... ","  55"," 1 312","  52"," 1 224"
"Neu-Hohenschönhausen Nord...... ","  765"," 2 783","  712"," 2 572"
"Neu-Hohenschönhausen Süd........ ","  718"," 2 775","  643"," 2 487"
"Alt-Hohenschönhausen Nord........ ","  314"," 2 331","  339"," 2 513"
"Alt-Hohenschönhausen Süd.......... ","  647"," 2 202","  731"," 2 481"
"Fennpfuhl...................................... ","  748"," 2 358","  613"," 1 915"
"Alt-Lichtenberg.............................. ","  818"," 3 406","  874"," 3 505"
"Frankfurter Allee Süd.................... ","  200"," 2 070","  237"," 2 365"
"Neu-Lichtenberg............................ ","  734"," 2 499","  663"," 2 207"
"Friedrichsfelde Nord...................... ","  379"," 2 844","  338"," 2 500"
"Friedrichsfelde Süd........................ ","  402"," 1 667","  403"," 1 640"
"Rummelsburger Bucht................... ","  60"," 1 839","  62"," 1 870"
"Karlshorst...................................... ","  273"," 1 209","  351"," 1 506"
"Ost 1............................... ","  939"," 3 660","  979"," 3 768"
"Ost 2............................... ","  721"," 2 827","  789"," 3 052"
"West 1............................ ","  644"," 4 427","  529"," 3 656"
"West 4............................ ","  867"," 3 469","  850"," 3 344"
"West 5............................ ","  434"," 4 248","  336"," 3 264"
"West 2............................ ","  284"," 1 205","  279"," 1 173"
"Nord 1............................ ","  340"," 1 040","  334"," 1 018"
"Nord 2............................ ","  672"," 2 302","  662"," 2 224"
"MV 1............................... "," 1 306"," 3 687"," 1 486"," 4 085"
"MV 2............................... ","  229"," 2 795","  223"," 2 623"
"West 3............................ ","  328"," 2 053","  272"," 1 701"
