Location,Number,Latitude,Longitude
REICHPIETSCHUFER / GABRIELE-TERGIT-PROMENADE,1,52.50583469999999,13.375225499999942
MEHRINGPLATZ,1,52.4994937,13.3923049
DRESDENER STR. / ORANIENPLATZ,1,52.5022169,13.416866900000059
SKALITZER STR. / SPREEWALDPLATZ,2,52.49815299999999,13.430900000000065
CHARLOTTENSTR. / RUDI-DUTSCHKE-STR.,1,52.50709999999999,13.393489999999929
ORANIENSTR. / AXEL-SPRINGER-STR. / RUDI-DUTSCHKE-STR. / LINDENSTR.,1,52.50303,13.39566000000002
MARIANNENSTR. / ORANIENSTR. / HEINRICHPLATZ,1,52.4986049,13.391798699999981
RAHEL-VARNHAGEN-PROMENADE / FRIEDRICHSTR.,1,52.5076184,13.390042900000026
RUDI-DUTSCHKE-STR.,1,52.50709999999999,13.393489999999929
BESSELSTR.,1,52.50439790000001,13.392686400000002
HALLESCHES UFER / MEHRINGBRÜCKE / WILHELMSTR.,2,52.50515,13.38639999999998
